AID|Romaji|Kanji|English|Year|EpsTotal|Eps|EpsSpec|Rating|TmpRating|Vote|TmpVote|Reviews|ReviewsRating|TypeID|TypeName|isAdult
128|Arcade Gamer Fubuki|アーケードゲーマーふぶき||2002-2003|4|4|0|5.58|6.15|58|7|1|4.16|3|OVA|0
106|Azumanga Daiou|あずまんが大王|Azumanga Daioh|2002|37|26|11|8.56|7.14|4379|396|20|8.09|2|TV Series|0
4897|Baccano!|バッカーノ!||2007|15|13|2|8.73|7.58|674|156|2|8.50|2|TV Series|0
167|Bannou Bunka Nekomusume|万能文化猫娘|All Purpose Cultural Cat Girl Nuku Nuku OVA 1|1992-1994|6|6|0|6.43|6.62|388|25|2|6.99|3|OVA|0
416|Blue Gender|ブルージェンダー||1999-2000|28|26|2|6.88|6.58|1018|75|9|7.94|2|TV Series|0
5101|Clannad|ＣＬＡＮＮＡＤ　-クラナド-||2007-2008|32|24|8|-|8.70|0|741|0|-|2|TV Series|0
4345|Dennou Coil|電脳コイル|Cyber Coil|2007|31|26|5|8.92|8.55|599|345|2|8.24|2|TV Series|0
4549|D.Gray-man|D.Gray-man||2006|78|0|2|6.63|7.33|6|1190|2|6.33|2|TV Series|0
490|Fake|||1998|1|1|0|6.25|7.47|198|5|1|7.33|3|OVA|0
163|Fushigi Yuugi (1996)|ふしぎ遊戯 (1996)|The Mysterious Play - OVA 1|1996-1997|3|3|0|6.41|7.49|393|12|1|6.16|3|OVA|0
1783|Genshiken|げんしけん||2004|15|12|3|8.34|7.70|3647|207|6|8.44|2|TV Series|0
5210|Genshiken 2|げんしけん２||2007|12|12|0|8.44|8.65|712|165|1|8.50|2|TV Series|0
1305|Ginga Sengoku Gun Yuuden Rai|銀河戦国群雄伝ライ|Thunder Jet|1994-1995|52|52|0|8.16|8.25|10|2|0|-|2|TV Series|0
5188|Goshuushou-sama Ninomiya-kun|ご愁傷さま二ノ宮くん||2007|12|12|0|6.40|7.11|520|220|1|3.83|2|TV Series|0
